"Year","State","Natural_Increase","Net_Overseas_Migration","Net_Interstate_Migration"
2007,"Western Australia",17492,34427,4855
2008,"Australian Capital Territory",3081,3325,548
2008,"New South Wales",50655,96427,-21527
2008,"Northern Territory",2819,1970,881
2008,"Queensland",36033,62840,17516
2008,"South Australia",7179,17617,-4920
2008,"Tasmania",2629,2089,1126
2008,"Victoria",35212,83225,-225
2008,"Western Australia",18165,48189,6453
2009,"Australian Capital Territory",3281,3668,-101
2009,"New South Wales",51500,70164,-12691
2009,"Northern Territory",2983,1690,367
2009,"Queensland",36528,47325,9991
2009,"South Australia",7286,17173,-3051
2009,"Tasmania",2526,1926,312
2009,"Victoria",36413,72087,2592
2009,"Western Australia",18707,32841,2445
2010,"Australian Capital Territory",3422,2001,1740
2010,"New South Wales",51258,50044,-10849
2010,"Northern Territory",2903,1087,-1599
2010,"Queensland",36282,31670,5384
2010,"South Australia",7143,10894,-3038
2010,"Tasmania",2157,1230,714
2010,"Victoria",36168,43214,3131
2010,"Western Australia",18636,31897,4457
2011,"Australian Capital Territory",3551,3051,837
2011,"New South Wales",48622,54165,-16069
2011,"Northern Territory",2909,2069,-1823
2011,"Queensland",34955,40922,9387
2011,"South Australia",7501,10432,-2804
2011,"Tasmania",2300,1247,-1063
2011,"Victoria",36594,51062,3882
2011,"Western Australia",19593,43277,7660
2012,"Australian Capital Territory",3754,3555,616
2012,"New South Wales",50146,63135,-16922
2012,"Northern Territory",3039,4119,-381
2012,"Queensland",36437,47264,10925
2012,"South Australia",7369,11874,-3816
2012,"Tasmania",1706,1582,-1775
2012,"Victoria",39763,58753,3248
2012,"Western Australia",20820,49965,8104
2013,"Australian Capital Territory",3840,2648,230
2013,"New South Wales",47102,67583,-11320
2013,"Northern Territory",2936,3193,-1536
2013,"Queensland",35448,33462,7426
2013,"South Australia",7082,12134,-4745
2013,"Tasmania",1663,1791,-760
2013,"Victoria",39622,58503,8596
2013,"Western Australia",21076,29061,2109
2014,"Australian Capital Territory",3794,3213,-1131
2014,"New South Wales",45421,68352,-5582
2014,"Northern Territory",2792,1141,-2439
2014,"Queensland",34953,23033,6179
2014,"South Australia",7152,10974,-3657
