"Quarter","Year","State","Natural_Increase","Net_Overseas_Migration","Net_Interstate_Migration"
"Mar",2018,"Western Australia",5140,4733,-1861
"Mar",2018,"Tasmania",387,815,995
"Mar",2018,"Northern Territory",671,317,-929
"Mar",2018,"Australian Capital Territory",834,1941,478
"Jun",2018,"New South Wales",11430,17047,-5622
"Jun",2018,"Victoria",9851,16495,1804
"Jun",2018,"Queensland",7644,7546,5834
"Jun",2018,"South Australia",1263,2399,-879
"Jun",2018,"Western Australia",4653,2309,-1878
"Jun",2018,"Tasmania",185,518,834
"Jun",2018,"Northern Territory",718,551,-602
"Jun",2018,"Australian Capital Territory",747,692,509
"Sep",2018,"New South Wales",10545,27542,-4749
"Sep",2018,"Victoria",8695,25574,1373
"Sep",2018,"Queensland",6959,9596,4883
"Sep",2018,"South Australia",982,4319,-704
"Sep",2018,"Western Australia",4379,4361,-847
"Sep",2018,"Tasmania",237,1129,566
"Sep",2018,"Northern Territory",625,51,-513
"Sep",2018,"Australian Capital Territory",759,1259,-9
"Dec",2018,"New South Wales",11402,18016,-7098
"Dec",2018,"Victoria",9563,16506,2365
"Dec",2018,"Queensland",7181,5258,6954
"Dec",2018,"South Australia",1379,2531,-1154
"Dec",2018,"Western Australia",4612,3147,-1913
"Dec",2018,"Tasmania",312,703,649
"Dec",2018,"Northern Territory",584,-363,-1065
"Dec",2018,"Australian Capital Territory",826,-76,1262
"Mar",2019,"New South Wales",11985,26960,-6209
"Mar",2019,"Victoria",10210,30510,2033
"Mar",2019,"Queensland",7908,11294,5189
"Mar",2019,"South Australia",1502,5171,-619
"Mar",2019,"Western Australia",4644,6632,-453
"Mar",2019,"Tasmania",314,1026,527
"Mar",2019,"Northern Territory",673,553,-888
"Mar",2019,"Australian Capital Territory",886,1399,420
"Jun",2019,"New South Wales",10799,12025,-5774
"Jun",2019,"Victoria",8719,12886,709
"Jun",2019,"Queensland",7832,5601,5620
"Jun",2019,"South Australia",1108,3120,-836
"Jun",2019,"Western Australia",4410,3344,-194
"Jun",2019,"Tasmania",221,327,469
"Jun",2019,"Northern Territory",642,691,-546
"Jun",2019,"Australian Capital Territory",820,227,552
"Sep",2019,"New South Wales",10026,23289,-5164
"Sep",2019,"Victoria",8178,25930,61
"Sep",2019,"Queensland",6416,10440,5598
"Sep",2019,"South Australia",1183,5081,-773
"Sep",2019,"Western Australia",4495,7901,-195
"Sep",2019,"Tasmania",193,841,45
"Sep",2019,"Northern Territory",597,4,-217
"Sep",2019,"Australian Capital Territory",914,1030,645
"Dec",2019,"New South Wales",11010,17010,-7466
"Dec",2019,"Victoria",8835,15737,1159
"Dec",2019,"Queensland",6808,6580,6548
"Dec",2019,"South Australia",1203,3271,-657
"Dec",2019,"Western Australia",4808,7628,-304
"Dec",2019,"Tasmania",285,1773,311
"Dec",2019,"Northern Territory",550,-257,-503
"Dec",2019,"Australian Capital Territory",836,-423,912
"Mar",2020,"New South Wales",11348,21509,-5647
"Mar",2020,"Victoria",9166,21407,-386
"Mar",2020,"Queensland",7273,12468,5580
"Mar",2020,"South Australia",1317,6557,-73
"Mar",2020,"Western Australia",4653,9991,505
"Mar",2020,"Tasmania",320,1061,236
"Mar",2020,"Northern Territory",655,598,-253
"Mar",2020,"Australian Capital Territory",831,1579,38
"Jun",2020,"New South Wales",10285,-3945,-4173
"Jun",2020,"Victoria",7959,-2477,-3486
"Jun",2020,"Queensland",7542,-1514,6033
"Jun",2020,"South Australia",1115,29,250
"Jun",2020,"Western Australia",4250,-363,262
"Jun",2020,"Tasmania",312,-37,296
"Jun",2020,"Northern Territory",698,-56,74
"Jun",2020,"Australian Capital Territory",762,49,744
"Sep",2020,"New South Wales",9794,-10075,-7338
"Sep",2020,"Victoria",7625,-20667,-7109
"Sep",2020,"Queensland",6978,-6781,8939
"Sep",2020,"South Australia",968,-1243,874
"Sep",2020,"Western Australia",4203,-2317,2831
"Sep",2020,"Tasmania",276,-283,797
"Sep",2020,"Northern Territory",604,-213,238
"Sep",2020,"Australian Capital Territory",787,-990,768
"Dec",2020,"New South Wales",9844,-487,-9883
"Dec",2020,"Victoria",8315,-18680,-10431
"Dec",2020,"Queensland",6303,-5172,11792
"Dec",2020,"South Australia",1110,-1287,1297
"Dec",2020,"Western Australia",4032,-2155,3941
"Dec",2020,"Tasmania",222,-113,1304
"Dec",2020,"Northern Territory",580,-268,50
"Dec",2020,"Australian Capital Territory",796,-1109,1930
"Mar",2021,"New South Wales",13071,-806,-9445
"Mar",2021,"Victoria",10424,-9881,-8960
"Mar",2021,"Queensland",8517,-1701,10090
"Mar",2021,"South Australia",1863,-763,1755
"Mar",2021,"Western Australia",5127,-633,4062
"Mar",2021,"Tasmania",381,133,1397
"Mar",2021,"Northern Territory",755,43,-142
"Mar",2021,"Australian Capital Territory",969,-591,1243
"Jun",2021,"New South Wales",11356,4132,-7342
"Jun",2021,"Victoria",8923,-3831,-9122
"Jun",2021,"Queensland",7736,808,9402
"Jun",2021,"South Australia",1419,454,925
"Jun",2021,"Western Australia",4717,12,3169
"Jun",2021,"Tasmania",300,-57,1099
"Jun",2021,"Northern Territory",712,16,-465
"Jun",2021,"Australian Capital Territory",766,-450,2334
"Sep",2021,"New South Wales",10241,-6185,-12615
"Sep",2021,"Victoria",8397,-4938,1699
"Sep",2021,"Queensland",6998,-1486,13930
"Sep",2021,"South Australia",950,-463,-1020
"Sep",2021,"Western Australia",4238,-701,312
"Sep",2021,"Tasmania",180,134,-625
"Sep",2021,"Northern Territory",537,512,-813
"Sep",2021,"Australian Capital Territory",825,-637,-868
"Dec",2021,"New South Wales",11428,14754,-13462
"Dec",2021,"Victoria",8292,13096,-8276
"Dec",2021,"Queensland",6524,1593,17639
"Dec",2021,"South Australia",1129,1886,650
"Dec",2021,"Western Australia",4510,110,5181
"Dec",2021,"Tasmania",247,1232,221
"Dec",2021,"Northern Territory",582,146,-990
"Dec",2021,"Australian Capital Territory",896,909,-963
"Mar",2022,"New South Wales",9771,35866,-9172
"Mar",2022,"Victoria",7750,35382,-4356
"Mar",2022,"Queensland",6764,15934,10546
"Mar",2022,"South Australia",1243,8017,449
"Mar",2022,"Western Australia",4411,7179,2647
"Mar",2022,"Tasmania",224,1229,191
"Mar",2022,"Northern Territory",640,1070,-310
"Mar",2022,"Australian Capital Territory",853,2129,5
"Jun",2022,"New South Wales",8425,24677,-4086
"Jun",2022,"Victoria",7185,22510,-3932
"Jun",2022,"Queensland",6439,13581,6665
"Jun",2022,"South Australia",739,4882,152
"Jun",2022,"Western Australia",3594,8749,2199
"Jun",2022,"Tasmania",186,759,-166
"Jun",2022,"Northern Territory",543,607,-447
"Jun",2022,"Australian Capital Territory",658,985,-385
"Sep",2022,"New South Wales",6521,42609,-7985
"Sep",2022,"Victoria",6040,37567,-783
"Sep",2022,"Queensland",4923,18994,7053
"Sep",2022,"South Australia",626,7239,259
"Sep",2022,"Western Australia",3482,14748,2634
"Sep",2022,"Tasmania",66,833,-262
"Sep",2022,"Northern Territory",557,481,-529
"Sep",2022,"Australian Capital Territory",656,2398,-387
"Dec",2022,"New South Wales",8260,42457,-10317
"Dec",2022,"Victoria",7246,37597,-884
"Dec",2022,"Queensland",5223,19128,10281
"Dec",2022,"South Australia",760,6039,-190
"Dec",2022,"Western Australia",3516,15599,3113
"Dec",2022,"Tasmania",188,1475,-704
"Dec",2022,"Northern Territory",515,906,-838
"Dec",2022,"Australian Capital Territory",621,1450,-461
"Mar",2023,"New South Wales",8990,52442,-7825
"Mar",2023,"Victoria",7886,50020,-45
"Mar",2023,"Queensland",5720,26522,7071
"Mar",2023,"South Australia",944,9708,-64
"Mar",2023,"Western Australia",3521,20995,3175
"Mar",2023,"Tasmania",249,1461,-862
"Mar",2023,"Northern Territory",532,1327,-931
"Mar",2023,"Australian Capital Territory",670,3017,-519
"Jun",2023,"New South Wales",7782,40493,-8031
"Jun",2023,"Victoria",6883,34582,-151
"Jun",2023,"Queensland",5402,21246,7850
"Jun",2023,"South Australia",526,6315,-414
"Jun",2023,"Western Australia",3214,15234,2708
"Jun",2023,"Tasmania",17,963,-769
"Jun",2023,"Northern Territory",605,1177,-969
"Jun",2023,"Australian Capital Territory",697,1498,-224
"Sep",2023,"New South Wales",7556,51231,-7029
"Sep",2023,"Victoria",7851,42950,-39
"Sep",2023,"Queensland",5735,23316,7423
"Sep",2023,"South Australia",718,7760,-339
"Sep",2023,"Western Australia",4336,18516,2237
"Sep",2023,"Tasmania",91,975,-744
"Sep",2023,"Northern Territory",529,1094,-868
"Sep",2023,"Australian Capital Territory",620,2426,-641
"Dec",2023,"New South Wales",8190,34960,-8793
"Dec",2023,"Victoria",4646,31944,-40
"Dec",2023,"Queensland",4405,16764,9251
"Dec",2023,"South Australia",783,4975,-472
"Dec",2023,"Western Australia",2904,14169,2589
"Dec",2023,"Tasmania",97,1488,-896
"Dec",2023,"Northern Territory",365,823,-1189
"Dec",2023,"Australian Capital Territory",711,1021,-450
"Mar",2024,"New South Wales",7248,41464,-7330
"Mar",2024,"Victoria",12302,42264,767
"Mar",2024,"Queensland",5330,21468,6406
"Mar",2024,"South Australia",894,6998,-461
"Mar",2024,"Western Australia",3630,16983,2505
"Mar",2024,"Tasmania",116,1278,-451
"Mar",2024,"Northern Territory",683,826,-1061
"Mar",2024,"Australian Capital Territory",637,2523,-375
