"Quarter","Year","State","Natural_Increase","Net_Overseas_Migration","Net_Interstate_Migration"
"Sep",1991,"Queensland",5929,3210,7384
"Sep",1991,"South Australia",1908,1103,156
"Sep",1991,"Western Australia",3670,2982,-185
"Sep",1991,"Tasmania",739,51,91
"Sep",1991,"Northern Territory",688,210,90
"Sep",1991,"Australian Capital Territory",819,110,79
"Dec",1991,"New South Wales",11305,4838,-3719
"Dec",1991,"Victoria",8493,2586,-4506
"Dec",1991,"Queensland",6086,812,9047
"Dec",1991,"South Australia",2095,477,-325
"Dec",1991,"Western Australia",3624,909,-87
"Dec",1991,"Tasmania",791,2,-30
"Dec",1991,"Northern Territory",644,-130,-419
"Dec",1991,"Australian Capital Territory",994,-204,39
"Mar",1992,"New South Wales",13105,11443,-5164
"Mar",1992,"Victoria",9173,7741,-5954
"Mar",1992,"Queensland",7046,3291,11028
"Mar",1992,"South Australia",2544,1127,50
"Mar",1992,"Western Australia",4049,2866,-293
"Mar",1992,"Tasmania",929,60,-154
"Mar",1992,"Northern Territory",736,160,-56
"Mar",1992,"Australian Capital Territory",851,384,543
"Jun",1992,"New South Wales",11054,3388,-1935
"Jun",1992,"Victoria",7921,1398,-3341
"Jun",1992,"Queensland",6785,937,6640
"Jun",1992,"South Australia",2048,190,-539
"Jun",1992,"Western Australia",3927,908,-749
"Jun",1992,"Tasmania",767,-77,-196
"Jun",1992,"Northern Territory",858,-76,-584
"Jun",1992,"Australian Capital Territory",781,-262,704
"Sep",1992,"New South Wales",11050,6423,-3407
"Sep",1992,"Victoria",8227,3914,-6596
"Sep",1992,"Queensland",5806,2169,11467
"Sep",1992,"South Australia",1833,634,-1324
"Sep",1992,"Western Australia",3637,1815,534
"Sep",1992,"Tasmania",723,95,-417
"Sep",1992,"Northern Territory",668,81,-431
"Sep",1992,"Australian Capital Territory",886,-38,174
"Dec",1992,"New South Wales",11571,1890,-5250
"Dec",1992,"Victoria",8498,935,-5120
"Dec",1992,"Queensland",6301,-113,11289
"Dec",1992,"South Australia",2088,184,-810
"Dec",1992,"Western Australia",3432,336,-230
"Dec",1992,"Tasmania",835,-38,-44
"Dec",1992,"Northern Territory",706,-86,462
"Dec",1992,"Australian Capital Territory",868,-321,-297
"Mar",1993,"New South Wales",12716,6812,-5784
"Mar",1993,"Victoria",8826,4882,-7738
"Mar",1993,"Queensland",7057,2476,16153
"Mar",1993,"South Australia",2249,945,-2136
"Mar",1993,"Western Australia",3905,2859,-1252
"Mar",1993,"Tasmania",830,182,-471
"Mar",1993,"Northern Territory",741,100,-182
"Mar",1993,"Australian Capital Territory",849,246,1410
"Jun",1993,"New South Wales",11364,-2497,-3094
"Jun",1993,"Victoria",8130,-1766,-5934
"Jun",1993,"Queensland",6905,-813,10253
"Jun",1993,"South Australia",2298,-217,-940
"Jun",1993,"Western Australia",3830,-370,796
"Jun",1993,"Tasmania",750,-136,-562
"Jun",1993,"Northern Territory",742,-51,-548
"Jun",1993,"Australian Capital Territory",835,-490,29
"Sep",1993,"New South Wales",10665,8122,-2998
"Sep",1993,"Victoria",7733,3824,-8573
"Sep",1993,"Queensland",6503,2385,12267
"Sep",1993,"South Australia",1910,937,-786
"Sep",1993,"Western Australia",3442,2221,360
"Sep",1993,"Tasmania",761,99,-351
"Sep",1993,"Northern Territory",688,116,126
"Sep",1993,"Australian Capital Territory",790,97,-45
"Dec",1993,"New South Wales",11399,3199,-2895
"Dec",1993,"Victoria",8328,1057,-6473
"Dec",1993,"Queensland",6378,118,10143
"Dec",1993,"South Australia",1826,163,-799
"Dec",1993,"Western Australia",3467,850,842
"Dec",1993,"Tasmania",843,-26,-490
"Dec",1993,"Northern Territory",726,-57,-215
"Dec",1993,"Australian Capital Territory",831,-445,-113
"Mar",1994,"New South Wales",12350,8097,-2330
"Mar",1994,"Victoria",8838,4946,-8543
"Mar",1994,"Queensland",6803,2279,12793
"Mar",1994,"South Australia",2393,899,-1445
"Mar",1994,"Western Australia",3919,2952,1096
"Mar",1994,"Tasmania",824,118,-862
"Mar",1994,"Northern Territory",743,78,-425
"Mar",1994,"Australian Capital Territory",852,170,-284
"Jun",1994,"New South Wales",10359,2511,-3957
"Jun",1994,"Victoria",7679,871,-5606
"Jun",1994,"Queensland",6501,459,9733
"Jun",1994,"South Australia",1878,-5,-948
"Jun",1994,"Western Australia",3671,695,1527
"Jun",1994,"Tasmania",688,1,-404
"Jun",1994,"Northern Territory",723,58,-361
"Jun",1994,"Australian Capital Territory",817,-240,16
"Sep",1994,"New South Wales",9484,12369,-2412
"Sep",1994,"Victoria",6958,6111,-5694
"Sep",1994,"Queensland",5616,4131,9339
"Sep",1994,"South Australia",1572,937,-1504
"Sep",1994,"Western Australia",3571,3563,1487
"Sep",1994,"Tasmania",617,175,-409
"Sep",1994,"Northern Territory",642,265,-519
"Sep",1994,"Australian Capital Territory",824,216,-288
"Dec",1994,"New South Wales",11082,2602,-3658
"Dec",1994,"Victoria",8311,1405,-4907
"Dec",1994,"Queensland",6446,-160,9954
"Dec",1994,"South Australia",1958,38,-1357
"Dec",1994,"Western Australia",3488,751,541
"Dec",1994,"Tasmania",845,-82,-753
"Dec",1994,"Northern Territory",693,-86,367
"Dec",1994,"Australian Capital Territory",766,-618,-187
"Mar",1995,"New South Wales",11907,9776,-4447
"Mar",1995,"Victoria",8516,6915,-6357
"Mar",1995,"Queensland",7243,3049,10659
"Mar",1995,"South Australia",2440,943,-2214
"Mar",1995,"Western Australia",4133,3269,1698
"Mar",1995,"Tasmania",792,190,-746
"Mar",1995,"Northern Territory",803,117,778
"Mar",1995,"Australian Capital Territory",848,437,629
"Jun",1995,"New South Wales",10610,11205,-2961
"Jun",1995,"Victoria",7563,4864,-5062
"Jun",1995,"Queensland",6749,3560,10272
